2026-04-23 14:44:55 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:55 | ERROR    | photo_segregator.embedding_extractor | Embedding computation failed: OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\resize.cpp:3845: error: (-215:Assertion failed) !dsize.empty() in function 'cv::hal::resize'

2026-04-23 14:44:55 | WARNING  | photo_segregator.ensemble_embeddings | Original embedding extraction failed — cannot create ensemble
2026-04-23 14:44:55 | INFO     | photo_segregator | Processed 0 faces (29 skipped)
2026-04-23 14:44:55 | INFO     | photo_segregator | 
[6/13] Saving embedding cache...
2026-04-23 14:44:55 | INFO     | photo_segregator.embedding_cache | Saved metadata for 0 faces to output\_metadata\face_metadata.json
2026-04-23 14:44:55 | WARNING  | photo_segregator | No faces detected in any images. Pipeline complete.
2026-04-23 14:48:18 | INFO     | photo_segregator | ============================================================
2026-04-23 14:48:18 | INFO     | photo_segregator |   PHOTO SEGREGATOR PIPELINE
2026-04-23 14:48:18 | INFO     | photo_segregator | ============================================================
2026-04-23 14:48:18 | INFO     | photo_segregator | Input:  ./photos
2026-04-23 14:48:18 | INFO     | photo_segregator | Output: ./output
2026-04-23 14:48:18 | INFO     | photo_segregator | Mode:   full
2026-04-23 14:48:18 | INFO     | photo_segregator | 
[1/13] Initializing components...
2026-04-23 14:48:18 | INFO     | photo_segregator | 
[2/13] Discovering images...
2026-04-23 14:48:18 | INFO     | photo_segregator.image_loader | Discovered 11 images in './photos' (recursive=True)
2026-04-23 14:48:18 | INFO     | photo_segregator | 
[3/13] Processing 11 images (detect → align → quality → embed)...
2026-04-23 14:48:18 | INFO     | photo_segregator.face_detector | Available ONNX Runtime providers: ['AzureExecutionProvider', 'CPUExecutionProvider']
2026-04-23 14:48:18 | INFO     | photo_segregator.face_detector | Initializing FaceAnalysis with model_pack='buffalo_l', providers=['CPUExecutionProvider']
2026-04-23 14:48:19 | INFO     | photo_segregator.face_detector | FaceDetector initialized successfully (det_size=(640, 640), det_thresh=0.5)
2026-04-23 14:48:24 | INFO     | photo_segregator.embedding_extractor | EmbeddingExtractor initialized (dim=512)
2026-04-23 14:48:59 | INFO     | photo_segregator | Processed 29 faces (0 skipped)
2026-04-23 14:48:59 | INFO     | photo_segregator | 
[6/13] Saving embedding cache...
2026-04-23 14:48:59 | INFO     | photo_segregator.embedding_cache | Saved 29 embeddings to output\_metadata\embeddings.npz
2026-04-23 14:48:59 | INFO     | photo_segregator.embedding_cache | Saved metadata for 29 faces to output\_metadata\face_metadata.json
2026-04-23 14:48:59 | INFO     | photo_segregator | 
[7/13] Semi-supervised classification...
